Date,Symbol,Close,EMA1,EMA2,MACD,SIGNAL
2018-02-15,QQQ,165.7,161.8117,162.4813,-0.6696,-0.0065
2018-02-16,QQQ,164.96,162.3841,162.7174,-0.3333,-0.0474
2018-02-20,QQQ,165.29,162.9124,162.9624,-0.05,-0.0477
2018-02-21,QQQ,164.82,163.2593,163.1393,0.12,-0.0267
2018-02-22,QQQ,164.8,163.5394,163.2975,0.2419,0.0068
2018-02-23,QQQ,168.17,164.3813,163.7615,0.6198,0.0835
2018-02-26,QQQ,170.4,165.4756,164.3938,1.0819,0.2083
2018-02-27,QQQ,168.29,165.9873,164.7648,1.2225,0.335
2018-02-28,QQQ,167.21,166.2096,164.9977,1.2119,0.4447
2018-03-01,QQQ,164.48,165.8952,164.9484,0.9468,0.5074
2018-03-02,QQQ,165.99,165.9124,165.0476,0.8648,0.5521
2018-03-05,QQQ,167.83,166.2611,165.3126,0.9485,0.6016
2018-03-06,QQQ,168.54,166.6754,165.62,1.0555,0.6584
2018-03-07,QQQ,168.93,167.0853,165.9352,1.1501,0.7198
2018-03-08,QQQ,169.86,167.5898,166.309,1.2808,0.79
2018-03-09,QQQ,173.16,168.6026,166.9615,1.6411,0.8964
2018-03-12,QQQ,174.08,169.5985,167.6394,1.9591,1.0292
2018-03-13,QQQ,171.71,169.9824,168.0271,1.9553,1.145
2018-03-14,QQQ,171.68,170.291,168.375,1.9161,1.2413
2018-03-15,QQQ,171.53,170.5163,168.6755,1.8408,1.3163
2018-03-16,QQQ,171.02,170.6079,168.8988,1.7091,1.3654
2018-03-19,QQQ,167.1,169.9701,168.7274,1.2426,1.35
2018-03-20,QQQ,167.65,169.5483,168.6248,0.9234,1.2967
2018-03-21,QQQ,166.92,169.0704,168.4625,0.6079,1.2106
2018-03-22,QQQ,162.8,167.9303,167.9232,0.0071,1.0602
2018-03-23,QQQ,158.51,166.2175,167.0267,-0.8092,0.8265
2018-03-26,QQQ,164.4,165.8871,166.7765,-0.8895,0.612
2018-03-27,QQQ,159.08,164.6494,166.0435,-1.3941,0.3613
2018-03-28,QQQ,157.25,163.3041,165.206,-1.902,0.0783
2018-03-29,QQQ,160.13,162.727,164.7226,-1.9956,-0.1809
2018-04-02,QQQ,155.51,161.4148,163.8452,-2.4304,-0.4621
2018-04-03,QQQ,157.26,160.6594,163.2181,-2.5587,-0.7242
2018-04-04,QQQ,159.74,160.4922,162.8868,-2.3946,-0.933
2018-04-05,QQQ,160.65,160.5209,162.6738,-2.1529,-1.0855
2018-04-06,QQQ,156.63,159.8135,162.0982,-2.2847,-1.2354
2018-04-09,QQQ,157.73,159.4347,161.6822,-2.2475,-1.3619
2018-04-10,QQQ,161.21,159.7574,161.6372,-1.8798,-1.4266
2018-04-11,QQQ,160.28,159.8525,161.5079,-1.6555,-1.4552
2018-04-12,QQQ,162.21,160.2811,161.5748,-1.2937,-1.435
2018-04-13,QQQ,161.37,160.4791,161.5553,-1.0762,-1.3902
2018-04-16,QQQ,162.6,160.8647,161.6548,-0.7901,-1.3152
2018-04-17,QQQ,166.1,161.8166,162.0781,-0.2616,-1.1835
2018-04-18,QQQ,166.44,162.6572,162.4936,0.1636,-1.0151
